Elemento,Descripcion,Banco
"El Mundo del Vino
40% dcto. todos los lunes en viñas seleccionadas.
Maule, Metropolitana","40% dcto. todos los lunes en viñas seleccionadas.
¡El mejor vino para ti!
Recuerda que:
Exclusivo con tus Tarjetas de Crédito WorldMember Limited Santander LATAM Pass.
Válido para compras en local y www.elmundodelvino.cl
No acumulable a otras promociones.
40% de dcto. en viñas seleccionadas; San Pedro, Tarapacá, Ventisquero, Tabali, Barón Philippe. En Whiskies seleccionados; Glen Turner y Glen Moray.
Ingresando los 6 primeros dígitos de tu Tarjeta como código de descuento.
Descuento máximo por pedido de $100.000
Vigencia: Hasta el 31 de marzo de 2025.",Santander
"Bozzo
40% dcto. todos los martes en bozzochocolates.cl y 20% dcto. en t...
Metropolitana","40% dcto. todos los martes en bozzochocolates.cl y 20% dcto. en tiendas
¡Disfruta los mejores chocolates, receta de tradición italiana!
Recuerda que:
Exclusivo con tus Tarjetas de Crédito y Débito Santander.
Válido en www.bozzochocolates.cl y presencial.
No acumulable a otras promociones.
Ingresando los 6 primeros dígitos de tu Tarjeta como código de descuento.
Para hacer efectivo el descuento debes mostrar y pagar con tus Tarjetas Santander.
Descuento máximo por pedido de $40.000.
Vigencia: Hasta el 31 de marzo de 2025.",Santander
"DKo Home
3 a 12 cuotas sin interés","3 a 12 cuotas sin interés
¡Renovar y decorar tu hogar nunca fue tan fácil!
Recuerda que:
Exclusivo pagando con tus Tarjetas de Crédito Santander.
Es válido en tiendas físicas y online.
No es acumulable con otras promociones.
CAE 1,46% Calculado por un monto referencial de compra de $1.000.000 en 12 cuotas. Costo total del Crédito: $1.007.920. Operación afecta a impuesto al crédito a cargo del cliente.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"Mirazú
50%. dcto. todos los miércoles
Valparaíso","50%. dcto. todos los miércoles
Vive una experiencia culinaria extraordinaria en Cocina Peruana
Recuerda que:
Exclusivo con tus Nuevas Tarjetas de Crédito Santander American Express.
Válido para consumo en local.
Av. Borgoño 15.460, Reñaca.
Tope de descuento de $50.000.
No acumulable a otras promociones.
Se excluyen propinas, menús, happy hours.
Vigencia: Hasta el 31 de mayo de 2025.",Santander
"El Taller
40% dcto. todos los martes
Metropolitana","40% dcto. todos los martes
Helados Artesanales de Alta Calidad, reconocidos entre los mejores del Mundo
Recuerda que:
Exclusivo con tus Tarjetas de Crédito y Débito Santander.
Válido para consumo en locales y www.eltallerchile.cl
Av. Providencia 1467, Providencia y Av. La Dehesa 1570, Lo Barnechea.
Tope de descuento de $15.000.
Para compras presenciales pide tu descuento al momento de pagar.
Para compras online ingresa los 6 primeros dígitos de tu tarjeta como código de descuento.
No acumulable a otras promociones.
Vigencia: Hasta el 31 de marzo de 2025.",Santander
"Fluye
10% dcto. todos los días y Multiplica x2 tus Millas LATAM Pass
Metropolitana","10% dcto. todos los días y Multiplica x2 tus Millas LATAM Pass
Tecnologías innovadoras para la purificación y el mejoramiento del agua, aire y el uso eficiente de la energía.
Recuerda:
Exclusivo pagando con tus Tarjetas de Crédito Santander.
Válido en tiendas y www.fluye.cl
Napoleón 3200, oficina 905, Las Condes
Presencial: Para hacer efectivo el descuento, debes mostrar y pagar con tus Tarjetas Santander.
Online: Para hacer efectivo el descuento, debes completar el formulario online y te contactarán.
No acumulable con otras promociones.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"Mindset
20% dcto. todos los días","20% dcto. todos los días
Artículos y accesorios deportivos
Recuerda:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en www.mindsetchile.com
Ingresa el cupón SANTANDER20, como código de descuento al comprar por la web.
No acumulable con otras promociones.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"BeZen
30% dcto. todos los días","30% dcto. todos los días
Calidez para tus ambientes con BëZen
Recuerda:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en tiendas físicas y www.bezen.cl
Ingresa los 6 primeros dígitos de tu Tarjeta como código de descuento.
No acumulable con otras promociones.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"Kano
10% dcto. adicional todos los jueves
Metropolitana","10% dcto. adicional todos los jueves
Todo lo que necesitas para disfrutar tu vida outdoor: equipamiento de camping, accesorios de ski y mucho más.
Recuerda que:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en tiendas y www.kanochile.cl
Laguna Mall Sport: Av. las Condes 13451, Las Condes.
Acumulable con otras promociones.
Ingresando los 6 primeros dígitos de tu Tarjeta como código de descuento.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"Fashion's Park
25% dcto. lunes y 15% dcto. martes a domingo","25% dcto. lunes y 15% dcto. martes a domingo
Encuentra todo en moda como chaquetas, abrigos, jeans y más.
Recuerda:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en tiendas y www.fashionspark.com
Excluye sale, 2x, 2x1 y 3x.
Promoción no válida para Outlet (Panamericana).
Ingresa los 6 primeros dígitos de tus Tarjeta como código de descuento.
Para hacer efectivo el descuento presencial debes mostrar y pagar con tus Tarjetas Santander.
No acumulable con otras promociones.
Vigencia: Hasta el 05 de septiembre de 2025",Santander
"Bosch
3 a 6 cuotas sin interés
Metropolitana","3 a 6 cuotas sin interés
Conoce la línea completa de productos para el hogar.
Recuerda que:
Exclusivo pagando con tus Tarjetas de Crédito Santander.
Válido en tienda física: Av. Alonso de Córdova 4213, Vitacura.
No es acumulable con otras promociones.
CAE 1,36% Calculado por un monto referencial de compra de $1.000.000 en 6 cuotas. Costo total del Crédito: $1.003.960. Operación afecta a impuesto al crédito a cargo del cliente.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"Rindegastos
Primeros 3 meses gratis en el plan que elijas al contratar Rindeg...","Primeros 3 meses gratis en el plan que elijas al contratar Rindegastos al ser cliente Santander
Plataforma web y móvil para rendición, aprobación, control y gestión de gastos empresariales
Beneficio Santander Empresas:
Exclusivo con tus Tarjetas de Crédito Santander Empresas.
Válido en https://landing.rindegastos.com/santander-empresas.
Durante el proceso de venta se solicitaran los 6 primeros dígitos de tu Tarjeta de Crédito Santander Empresa como código de descuento.
Vigencia: Desde el 01 de diciembre de 2024 al 30 de abril de 2025.",Santander
"Petrizzio
25% dcto. sábados y domingos","25% dcto. sábados y domingos
Productos de belleza y cuidado personal
Recuerda:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en www.petrizzio.cl
Ingresa los 6 primeros dígitos de tus Tarjeta como código de descuento.
No acumulable con otras promociones.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"Kitchen-it
15% dcto. todos los días","15% dcto. todos los días
Electrodomésticos innovadores que mejoran tu experiencia en la cocina
Recuerda:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en www.kitchenit.cl
Ingresa el cupón SANTANDER15 como código de descuento.
1 cupón por persona.
Compras sobre $40.000.
Acumulable con otras promociones.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"Lineatre
20% dcto. todos los viernes.","20% dcto. todos los viernes.
Pasión por el diseño Italiano, buen gusto y calidad. La nueva colección Viaggio a Portofino te espera en tiendas y online.
Recuerda:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en tiendas y www.lineatre.cl
Exclusivo en nueva colección.
Ingresa los 6 primeros dígitos de tus Tarjeta como código de descuento.
No acumulable con otras promociones.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"Awto
Compra AwtoCredits y gana créditos extras
Metropolitana, Valparaíso","Compra AwtoCredits y gana créditos extras
Con Awto, tienes la posibilidad de arrendar un vehículo por minutos, días o meses.
Recuerda que:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Compra AwtoCredits y gana créditos extras:
- Compra $25.000 y gana $3.200
- Compra $70.000 y gana $10.000
- Compra $140.000 y gana $25.000
Los créditos son válidos solo para el uso de viajes con tarifa AwtoLibre (uso por minuto).
Válido en https://gowgo.awto.cl/pwa/awto-promo-santander/login
No es acumulable con otras promociones.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"Alma Salud Chile
Hasta 30% dcto. lunes a sábado
Metropolitana","Hasta 30% dcto. lunes a sábado
Centro especializado en masajes, kinesiología y terapias holísticas
Recuerda que:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en www.almasalud.cl y presencial.
Los ilanes 86, torre B, oficina 817, Las Condes.
30% dcto. en 10 sesiones de kinesiología, 25% dcto. en 5 sesiones de kinesiologia, 20% dcto. en masajes, 10% dcto. en tratamientos reductivos y terapias holísticas y 10% dcto. en masajes premium.
Ingresa los 6 primeros dígitos de tu Tarjeta como código de descuento.
No es acumulable con otras promociones.
Códigos de descuento: Masajes premium: premsantander // Tratamientos reductivos y terapias holisticas: santander10 // masajes: santander20 // paquetes de kinesiología: santander30

Vigencia: Hasta el 31 de marzo de 2025",Santander
"LG
10% dcto. adicional todos los días","10% dcto. adicional todos los días
Renueva tu hogar con LG
Recuerda que:
Exclusivo con tus Tarjetas de Crédito y Débito Santander. 
Válido en www.lg.com/cl
Acumulable con otras promociones.
Solo en productos seleccionados en www.lg.com/cl
Ingresando los 6 primeros dígitos de tu Tarjeta como código de descuento.
Vigencia: Desde el 01 al 31 de marzo de 2025.",Santander
"Azahar
20% de dcto. todos los jueves.
Metropolitana","20% de dcto. todos los jueves.
La mejor confección de ropa argentina
Recuerda que:
Exclusivo con tus Tarjetas de Crédito y Débito Santander.
Válido en tiendas y www.azaharclothes.cl
Luis Pasteur 6288, Vitacura.
Ingresa los 6 primeros dígitos de tu Tarjeta como código de descuento.
No acumulable a otras promociones.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"Boaz
20% dcto. jueves y viernes.
Metropolitana","20% dcto. jueves y viernes.
Arma tus joyas personalizadas
Recuerda:
Exclusivo con tus Tarjetas Débito Santander y Tarjetas de Crédito Santander.
Válido en tiendas físicas y www.boazjoyas.com
Ingresa los 6 primeros dígitos de tus Tarjeta de Crédito y Débito Santander como código de descuento.
No acumulable con otras promociones.
Vigencia: Hasta el 31 de marzo de 2025",Santander
